Tolerance,Image_Size,JPEG_Quality,Num_References,Num_Test_Images,Accuracy,Mean_Time,No_Face_Rate,Num_Users
0.4,240x160,70,1,10,0.94,0.07177321223789836,0.0,10
0.4,320x240,70,1,10,0.96,0.12596789206901607,0.0,10
0.4,640x480,70,1,10,0.95,0.30472830530545897,0.0,10
0.5,240x160,70,1,10,0.98,0.0626735471910046,0.0,10
0.5,320x240,70,1,10,1.0,0.0765337531949267,0.0,10
0.5,640x480,70,1,10,0.99,0.2121362715321579,0.0,10
0.6,240x160,70,1,10,1.0,0.03711374946262525,0.0,10
0.6,320x240,70,1,10,1.0,0.06372058833086933,0.0,10
0.6,640x480,70,1,10,1.0,0.17329735341279404,0.0,10
0.7,240x160,70,1,10,0.95,0.040209839218541196,0.0,10
0.7,320x240,70,1,10,0.97,0.059243079387780395,0.0,10
0.7,640x480,70,1,10,0.97,0.1723302497344763,0.0,10
