True_User,Target_Folder,Predicted_User_FR,Status_FR,Time_FR,Predicted_User_DF,Status_DF,Time_DF,Test_Image_Path
Andy Samberg,Andy Samberg,Andy Samberg,Correct Match,0.05571746826171875,Andy Samberg,Correct Match,0.3538522720336914,../dataset/Andy Samberg/Andy Samberg_49.jpg
Andy Samberg,Anushka Sharma,,No Face Detected in Test,0.03581428527832031,,No Match,3.6738688945770264,../dataset/Anushka Sharma/Anushka Sharma_20.jpg
Andy Samberg,Anushka Sharma,Anushka Sharma,Incorrect Match,0.05133557319641113,Billie Eilish,Incorrect Match,1.1376855373382568,../dataset/Anushka Sharma/Anushka Sharma_58.jpg
Andy Samberg,Billie Eilish,,No Face Detected in Test,0.0340120792388916,Billie Eilish,Incorrect Match,1.5177688598632812,../dataset/Billie Eilish/Billie Eilish_66.jpg
Andy Samberg,Camila Cabello,,No Face Detected in Test,0.0511012077331543,,No Match,4.605034589767456,../dataset/Camila Cabello/Camila Cabello_3.jpg
Andy Samberg,Camila Cabello,Camila Cabello,Incorrect Match,0.06351065635681152,,No Match,4.442178249359131,../dataset/Camila Cabello/Camila Cabello_19.jpg
Andy Samberg,Courtney Cox,Courtney Cox,Incorrect Match,0.05465364456176758,,No Match,4.951465129852295,../dataset/Courtney Cox/Courtney Cox_52.jpg
Andy Samberg,Dwayne Johnson,Dwayne Johnson,Incorrect Match,0.07843136787414551,Dwayne Johnson,Incorrect Match,2.7361602783203125,../dataset/Dwayne Johnson/Dwayne Johnson_13.jpg
Andy Samberg,Ellen Degeneres,Ellen Degeneres,Incorrect Match,0.08460497856140137,Ellen Degeneres,Incorrect Match,3.5434765815734863,../dataset/Ellen Degeneres/Ellen Degeneres_47.jpg
Andy Samberg,Hrithik Roshan,,No Match,0.07657170295715332,Hrithik Roshan,Incorrect Match,3.320803165435791,../dataset/Hrithik Roshan/Hrithik Roshan_10.jpg
Andy Samberg,Roger Federer,Roger Federer,Incorrect Match,0.08292055130004883,,No Match,4.648597955703735,../dataset/Roger Federer/Roger Federer_46.jpg
Andy Samberg,Tom Cruise,Tom Cruise,Incorrect Match,0.06403255462646484,,No Match,4.486033201217651,../dataset/Tom Cruise/Tom Cruise_47.jpg
Anushka Sharma,Andy Samberg,,No Face Detected in Test,0.03973054885864258,,No Match,5.0087103843688965,../dataset/Andy Samberg/Andy Samberg_3.jpg
